Date,Rate
10.07.2023,39.8214
11.07.2023,40.0627
12.07.2023,40.167
13.07.2023,40.2803
14.07.2023,40.8581
15.07.2023,40.8581
16.07.2023,40.8581
17.07.2023,41.0483
18.07.2023,41.0812
19.07.2023,41.1506
20.07.2023,41.0117
21.07.2023,40.9897
22.07.2023,40.9897
23.07.2023,40.9897
24.07.2023,40.6643
25.07.2023,40.5838
26.07.2023,40.4046
27.07.2023,40.4558
28.07.2023,40.7228
29.07.2023,40.7228
30.07.2023,40.7228
31.07.2023,40.2584
01.08.2023,40.3242
02.08.2023,40.134
03.08.2023,40.145
04.08.2023,39.9914
05.08.2023,39.9914
06.08.2023,39.9914
07.08.2023,40.0024
08.08.2023,40.1633
09.08.2023,40.0134
10.08.2023,40.1194
11.08.2023,40.284
12.08.2023,40.284
13.08.2023,40.284
14.08.2023,40.2145
15.08.2023,40.006
16.08.2023,39.9658
17.08.2023,39.911
18.08.2023,39.8415
19.08.2023,39.8415
20.08.2023,39.8415
21.08.2023,39.7245
22.08.2023,39.889
23.08.2023,39.8086
24.08.2023,39.5343
25.08.2023,39.655
26.08.2023,39.655
27.08.2023,39.655
28.08.2023,39.5051
29.08.2023,39.516
30.08.2023,39.516
31.08.2023,39.7903
01.09.2023,39.7391
02.09.2023,39.7391
03.09.2023,39.7391
04.09.2023,39.6221
05.09.2023,39.4977
06.09.2023,39.2527
07.09.2023,39.2856
08.09.2023,39.1467
09.09.2023,39.1467
10.09.2023,39.1467
11.09.2023,39.1247
12.09.2023,39.1979
13.09.2023,39.1906
14.09.2023,39.2674
15.09.2023,39.2381
16.09.2023,39.2381
17.09.2023,39.2381
18.09.2023,38.9602
19.09.2023,38.9931
20.09.2023,39.154
21.09.2023,39.1394
22.09.2023,38.8944
23.09.2023,38.8944
24.09.2023,38.8944
25.09.2023,38.898
26.09.2023,38.8724
27.09.2023,38.7609
28.09.2023,38.5506
29.09.2023,38.5543
30.09.2023,38.5543
01.10.2023,38.5543
02.10.2023,38.7408
03.10.2023,38.5177
04.10.2023,38.3263
05.10.2023,38.4288
06.10.2023,38.5406
07.10.2023,38.5406
08.10.2023,38.5406
09.10.2023,38.6533
10.10.2023,38.4827
11.10.2023,38.6049
12.10.2023,38.6394
13.10.2023,38.6422
14.10.2023,38.6422
15.10.2023,38.6422
16.10.2023,38.2782
17.10.2023,38.2806
18.10.2023,38.5503
19.10.2023,38.609
20.10.2023,38.6511
21.10.2023,38.6511
22.10.2023,38.6511
23.10.2023,38.7033
24.10.2023,38.7613
25.10.2023,38.9091
26.10.2023,38.6171
27.10.2023,38.4687
28.10.2023,38.4687
29.10.2023,38.4687
30.10.2023,38.3774
31.10.2023,38.5624
01.11.2023,38.5451
02.11.2023,38.2311
03.11.2023,38.6703
04.11.2023,38.6703
05.11.2023,38.6703
06.11.2023,38.7278
07.11.2023,38.7206
08.11.2023,38.484
09.11.2023,38.4518
10.11.2023,38.5225
11.11.2023,38.5225
12.11.2023,38.5225
13.11.2023,38.542
14.11.2023,38.5945
15.11.2023,38.9392
16.11.2023,39.3939
17.11.2023,39.3054
